,day,kmeans_id
0,2020-01-01,2
1,2020-01-02,0
2,2020-01-03,2
3,2020-01-04,2
4,2020-01-05,2
5,2020-01-06,0
6,2020-01-07,0
7,2020-01-08,0
8,2020-01-09,0
9,2020-01-10,0
10,2020-01-11,1
11,2020-01-12,1
12,2020-01-13,0
13,2020-01-14,0
14,2020-01-15,0
15,2020-01-16,0
16,2020-01-17,0
17,2020-01-18,2
18,2020-01-19,2
19,2020-01-20,2
20,2020-01-21,0
21,2020-01-22,0
22,2020-01-23,0
23,2020-01-24,0
24,2020-01-25,2
25,2020-01-26,2
26,2020-01-27,0
27,2020-01-28,0
28,2020-01-29,0
29,2020-01-30,0
30,2020-01-31,0
31,2020-02-01,2
32,2020-02-02,2
33,2020-02-03,0
34,2020-02-04,0
35,2020-02-05,0
36,2020-02-06,0
37,2020-02-07,0
38,2020-02-08,2
39,2020-02-09,2
40,2020-02-10,2
41,2020-02-11,0
42,2020-02-12,0
43,2020-02-13,0
44,2020-02-14,0
45,2020-02-15,2
46,2020-02-16,2
47,2020-02-17,0
48,2020-02-18,0
49,2020-02-19,0
50,2020-02-20,0
51,2020-02-21,0
52,2020-02-22,2
53,2020-02-23,1
54,2020-02-24,0
55,2020-02-25,0
56,2020-02-26,0
57,2020-02-27,0
58,2020-02-28,0
59,2020-02-29,2
60,2020-03-01,2
61,2020-03-02,0
62,2020-03-03,0
63,2020-03-04,0
64,2020-03-05,0
65,2020-03-06,0
66,2020-03-07,2
67,2020-03-08,1
68,2020-03-09,0
69,2020-03-10,0
70,2020-03-11,0
71,2020-03-12,0
72,2020-03-13,2
73,2020-03-14,2
74,2020-03-15,2
75,2020-03-16,2
76,2020-03-17,2
77,2020-03-18,2
78,2020-03-19,2
79,2020-03-20,2
80,2020-03-21,2
81,2020-03-22,2
82,2020-03-23,2
83,2020-03-24,2
84,2020-03-25,2
85,2020-03-26,2
86,2020-03-27,2
87,2020-03-28,2
88,2020-03-29,2
89,2020-03-30,2
90,2020-03-31,2
91,2020-04-01,2
92,2020-04-02,2
93,2020-04-03,2
94,2020-04-04,2
95,2020-04-05,2
96,2020-04-06,2
97,2020-04-07,2
98,2020-04-08,2
99,2020-04-09,2
100,2020-04-10,2
101,2020-04-11,2
102,2020-04-12,2
103,2020-04-13,2
104,2020-04-14,2
105,2020-04-15,2
106,2020-04-16,2
107,2020-04-17,2
108,2020-04-18,2
109,2020-04-19,2
110,2020-04-20,2
111,2020-04-21,2
112,2020-04-22,2
113,2020-04-23,2
114,2020-04-24,2
115,2020-04-25,1
116,2020-04-26,2
117,2020-04-27,2
118,2020-04-28,2
119,2020-04-29,2
120,2020-04-30,2
121,2020-05-01,2
122,2020-05-02,1
123,2020-05-03,1
124,2020-05-04,2
125,2020-05-05,2
126,2020-05-06,2
127,2020-05-07,2
128,2020-05-08,2
129,2020-05-09,2
130,2020-05-10,1
131,2020-05-11,2
132,2020-05-12,2
133,2020-05-13,2
134,2020-05-14,2
135,2020-05-15,1
136,2020-05-16,1
137,2020-05-17,1
138,2020-05-18,2
139,2020-05-19,2
140,2020-05-20,2
141,2020-05-21,2
142,2020-05-22,2
143,2020-05-23,2
144,2020-05-24,1
145,2020-05-25,1
146,2020-05-26,1
147,2020-05-27,1
148,2020-05-28,2
149,2020-05-29,1
150,2020-05-30,1
151,2020-05-31,1
152,2020-06-01,1
153,2020-06-02,2
154,2020-06-03,2
155,2020-06-04,2
156,2020-06-05,2
157,2020-06-06,1
158,2020-06-07,1
159,2020-06-08,1
160,2020-06-09,1
161,2020-06-10,1
162,2020-06-11,2
163,2020-06-12,1
164,2020-06-13,1
165,2020-06-14,1
166,2020-06-15,1
167,2020-06-16,1
168,2020-06-17,1
169,2020-06-18,1
170,2020-06-19,1
171,2020-06-20,1
172,2020-06-21,1
173,2020-06-22,1
174,2020-06-23,1
175,2020-06-24,1
176,2020-06-25,1
177,2020-06-26,1
178,2020-06-27,1
179,2020-06-28,1
180,2020-06-29,1
181,2020-06-30,1
182,2020-07-01,1
183,2020-07-02,1
184,2020-07-03,1
185,2020-07-04,1
186,2020-07-05,1
187,2020-07-06,2
188,2020-07-07,1
189,2020-07-08,1
190,2020-07-09,1
191,2020-07-10,2
192,2020-07-11,1
193,2020-07-12,1
194,2020-07-13,1
195,2020-07-14,1
196,2020-07-15,1
197,2020-07-16,1
198,2020-07-17,1
199,2020-07-18,1
200,2020-07-19,1
201,2020-07-20,1
202,2020-07-21,1
203,2020-07-22,1
204,2020-07-23,1
205,2020-07-24,1
206,2020-07-25,1
207,2020-07-26,1
208,2020-07-27,1
209,2020-07-28,1
210,2020-07-29,1
211,2020-07-30,1
212,2020-07-31,1
213,2020-08-01,1
214,2020-08-02,1
215,2020-08-03,1
216,2020-08-04,2
217,2020-08-05,1
218,2020-08-06,1
219,2020-08-07,1
220,2020-08-08,1
221,2020-08-09,1
222,2020-08-10,1
223,2020-08-11,1
224,2020-08-12,1
225,2020-08-13,1
226,2020-08-14,1
227,2020-08-15,1
228,2020-08-16,2
229,2020-08-17,1
230,2020-08-18,1
231,2020-08-19,1
232,2020-08-20,1
233,2020-08-21,1
234,2020-08-22,1
235,2020-08-23,1
236,2020-08-24,1
237,2020-08-25,1
238,2020-08-26,1
239,2020-08-27,1
240,2020-08-28,1
241,2020-08-29,1
242,2020-08-30,1
243,2020-08-31,1
244,2020-09-01,1
245,2020-09-02,1
246,2020-09-03,1
247,2020-09-04,1
248,2020-09-05,1
249,2020-09-06,1
250,2020-09-07,1
251,2020-09-08,1
252,2020-09-09,1
253,2020-09-10,1
254,2020-09-11,1
255,2020-09-12,1
256,2020-09-13,1
257,2020-09-14,1
258,2020-09-15,1
259,2020-09-16,1
260,2020-09-17,1
261,2020-09-18,1
262,2020-09-19,1
263,2020-09-20,1
264,2020-09-21,1
265,2020-09-22,1
266,2020-09-23,1
267,2020-09-24,1
268,2020-09-25,1
269,2020-09-26,1
270,2020-09-27,1
271,2020-09-28,1
272,2020-09-29,1
273,2020-09-30,1
274,2020-10-01,1
275,2020-10-02,1
276,2020-10-03,1
277,2020-10-04,1
278,2020-10-05,1
279,2020-10-06,1
280,2020-10-07,1
281,2020-10-08,1
282,2020-10-09,1
283,2020-10-10,1
284,2020-10-11,1
285,2020-10-12,2
286,2020-10-13,2
287,2020-10-14,1
288,2020-10-15,1
289,2020-10-16,2
290,2020-10-17,1
291,2020-10-18,1
292,2020-10-19,1
293,2020-10-20,1
294,2020-10-21,1
295,2020-10-22,1
296,2020-10-23,1
297,2020-10-24,1
298,2020-10-25,1
299,2020-10-26,2
300,2020-10-27,1
301,2020-10-28,1
302,2020-10-29,2
303,2020-10-30,2
304,2020-10-31,1
305,2020-11-01,2
306,2020-11-02,2
307,2020-11-03,1
308,2020-11-04,1
309,2020-11-05,1
310,2020-11-06,1
311,2020-11-07,1
312,2020-11-08,1
313,2020-11-09,1
314,2020-11-10,1
315,2020-11-11,2
316,2020-11-12,2
317,2020-11-13,2
318,2020-11-14,1
319,2020-11-15,2
320,2020-11-16,1
321,2020-11-17,2
322,2020-11-18,2
323,2020-11-19,2
324,2020-11-20,1
325,2020-11-21,1
326,2020-11-22,2
327,2020-11-23,2
328,2020-11-24,2
329,2020-11-25,1
330,2020-11-26,2
331,2020-11-27,2
332,2020-11-28,2
333,2020-11-29,2
334,2020-11-30,2
335,2020-12-01,2
336,2020-12-02,2
337,2020-12-03,2
338,2020-12-04,2
339,2020-12-05,2
340,2020-12-06,2
341,2020-12-07,2
342,2020-12-08,2
343,2020-12-09,2
344,2020-12-10,2
345,2020-12-11,1
346,2020-12-12,2
347,2020-12-13,1
348,2020-12-14,2
349,2020-12-15,2
350,2020-12-16,2
351,2020-12-17,2
352,2020-12-18,2
353,2020-12-19,2
354,2020-12-20,2
355,2020-12-21,2
356,2020-12-22,2
357,2020-12-23,2
358,2020-12-24,2
359,2020-12-25,2
360,2020-12-26,2
361,2020-12-27,2
362,2020-12-28,2
363,2020-12-29,2
364,2020-12-30,2
365,2020-12-31,2
